"Label (Grouping)","Florida!!Total!!Estimate","Florida!!Total!!Margin of Error","Florida!!Percent!!Estimate","Florida!!Percent!!Margin of Error","Florida!!Male!!Estimate","Florida!!Male!!Margin of Error","Florida!!Percent Male!!Estimate","Florida!!Percent Male!!Margin of Error","Florida!!Female!!Estimate","Florida!!Female!!Margin of Error","Florida!!Percent Female!!Estimate","Florida!!Percent Female!!Margin of Error","Clay County, Florida!!Total!!Estimate","Clay County, Florida!!Total!!Margin of Error","Clay County, Florida!!Percent!!Estimate","Clay County, Florida!!Percent!!Margin of Error","Clay County, Florida!!Male!!Estimate","Clay County, Florida!!Male!!Margin of Error","Clay County, Florida!!Percent Male!!Estimate","Clay County, Florida!!Percent Male!!Margin of Error","Clay County, Florida!!Female!!Estimate","Clay County, Florida!!Female!!Margin of Error","Clay County, Florida!!Percent Female!!Estimate","Clay County, Florida!!Percent Female!!Margin of Error","Duval County, Florida!!Total!!Estimate","Duval County, Florida!!Total!!Margin of Error","Duval County, Florida!!Percent!!Estimate","Duval County, Florida!!Percent!!Margin of Error","Duval County, Florida!!Male!!Estimate","Duval County, Florida!!Male!!Margin of Error","Duval County, Florida!!Percent Male!!Estimate","Duval County, Florida!!Percent Male!!Margin of Error","Duval County, Florida!!Female!!Estimate","Duval County, Florida!!Female!!Margin of Error","Duval County, Florida!!Percent Female!!Estimate","Duval County, Florida!!Percent Female!!Margin of Error","Nassau County, Florida!!Total!!Estimate","Nassau County, Florida!!Total!!Margin of Error","Nassau County, Florida!!Percent!!Estimate","Nassau County, Florida!!Percent!!Margin of Error","Nassau County, Florida!!Male!!Estimate","Nassau County, Florida!!Male!!Margin of Error","Nassau County, Florida!!Percent Male!!Estimate","Nassau County, Florida!!Percent Male!!Margin of Error","Nassau County, Florida!!Female!!Estimate","Nassau County, Florida!!Female!!Margin of Error","Nassau County, Florida!!Percent Female!!Estimate","Nassau County, Florida!!Percent Female!!Margin of Error"
"        Bachelor's degree or higher","1,710,278","±20,099","33.6%","±0.4","882,608","±13,231","38.1%","±0.6","827,670","±12,564","29.8%","±0.4","11,385","±1,563","26.4%","±3.7","5,800","±862","29.9%","±4.5","5,585","±1,294","23.5%","±5.4","53,603","±4,100","31.7%","±2.4","25,408","±2,000","34.7%","±2.7","28,195","±2,907","29.4%","±3.0","11,763","±1,271","42.8%","±4.5","6,236","±906","47.7%","±6.1","5,527","±899","38.4%","±6.2"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","9,763,238","±27,016","(X)","(X)","4,755,377","±15,041","(X)","(X)","5,007,861","±17,132","(X)","(X)","116,792","±1,931","(X)","(X)","57,790","±864","(X)","(X)","59,002","±1,495","(X)","(X)","395,892","±4,433","(X)","(X)","192,385","±2,307","(X)","(X)","203,507","±2,957","(X)","(X)","67,663","±1,289","(X)","(X)","32,916","±995","(X)","(X)","34,747","±495","(X)","(X)"
"        High school graduate or higher","9,196,114","±27,249","94.2%","±0.2","4,451,212","±16,643","93.6%","±0.2","4,744,902","±16,768","94.7%","±0.2","108,194","±2,314","92.6%","±1.5","52,936","±1,546","91.6%","±2.5","55,258","±1,669","93.7%","±1.7","370,087","±4,887","93.5%","±0.9","177,643","±3,015","92.3%","±1.4","192,444","±3,415","94.6%","±1.1","63,472","±1,408","93.8%","±2.0","30,361","±840","92.2%","±3.1","33,111","±887","95.3%","±2.1"
"        Bachelor's degree or higher","3,833,282","±28,772","39.3%","±0.3","1,880,950","±20,716","39.6%","±0.4","1,952,332","±19,766","39.0%","±0.4","33,549","±3,314","28.7%","±2.7","16,982","±2,134","29.4%","±3.5","16,567","±2,255","28.1%","±3.7","159,281","±5,218","40.2%","±1.2","77,040","±3,688","40.0%","±1.9","82,241","±4,070","40.4%","±1.8","25,883","±2,479","38.3%","±3.6","12,429","±1,521","37.8%","±4.7","13,454","±1,631","38.7%","±4.6"
"    White alone, not Hispanic or Latino","9,010,142","±11,133","(X)","(X)","4,392,243","±5,900","(X)","(X)","4,617,899","±7,127","(X)","(X)","113,908","±1,470","(X)","(X)","56,205","±520","(X)","(X)","57,703","±1,275","(X)","(X)","377,667","±3,080","(X)","(X)","184,413","±1,495","(X)","(X)","193,254","±1,967","(X)","(X)","66,137","±712","(X)","(X)","31,975","±508","(X)","(X)","34,162","±292","(X)","(X)"
"        High school graduate or higher","8,541,888","±15,178","94.8%","±0.1","4,141,411","±10,433","94.3%","±0.2","4,400,477","±9,528","95.3%","±0.2","105,310","±2,157","92.5%","±1.6","51,351","±1,470","91.4%","±2.6","53,959","±1,524","93.5%","±1.7","354,539","±4,082","93.9%","±0.8","171,451","±2,458","93.0%","±1.2","183,088","±2,771","94.7%","±1.1","62,657","±1,349","94.7%","±1.7","30,131","±816","94.2%","±2.2","32,526","±776","95.2%","±2.1"
"        Bachelor's degree or higher","3,579,924","±29,075","39.7%","±0.3","1,766,317","±20,319","40.2%","±0.5","1,813,607","±19,194","39.3%","±0.4","32,238","±3,165","28.3%","±2.7","16,032","±1,984","28.5%","±3.5","16,206","±2,190","28.1%","±3.7","153,086","±4,889","40.5%","±1.2","74,184","±3,622","40.2%","±1.9","78,902","±3,694","40.8%","±1.8","25,298","±2,436","38.3%","±3.7","12,429","±1,521","38.9%","±4.8","12,869","±1,597","37.7%","±4.6"
"    Black alone","2,290,150","±13,979","(X)","(X)","1,076,725","±8,999","(X)","(X)","1,213,425","±8,295","(X)","(X)","20,111","±1,189","(X)","(X)","9,688","±1,052","(X)","(X)","10,423","±570","(X)","(X)","195,619","±3,220","(X)","(X)","87,436","±2,155","(X)","(X)","108,183","±2,234","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)"
"        High school graduate or higher","1,981,427","±17,629","86.5%","±0.6","911,242","±11,955","84.6%","±0.8","1,070,185","±10,024","88.2%","±0.7","18,741","±1,510","93.2%","±4.6","8,902","±1,278","91.9%","±7.6","9,839","±713","94.4%","±4.6","176,009","±3,675","90.0%","±1.4","79,732","±2,848","91.2%","±2.4","96,277","±2,574","89.0%","±1.7","N","N","N","N","N","N","N","N","N","N","N","N"
"        Bachelor's degree or higher","574,377","±17,012","25.1%","±0.7","241,965","±11,024","22.5%","±1.0","332,412","±11,140","27.4%","±0.9","4,254","±1,708","21.2%","±9.1","1,391","±731","14.4%","±7.4","2,863","±1,441","27.5%","±14.2","50,337","±5,465","25.7%","±2.7","20,332","±3,717","23.3%","±4.2","30,005","±4,104","27.7%","±3.7","N","N","N","N","N","N","N","N","N","N","N","N"
"    American Indian or Alaska Native alone","65,170","±6,538","(X)","(X)","35,584","±4,166","(X)","(X)","29,586","±3,761","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)"
"        High school graduate or higher","47,315","±5,028","72.6%","±4.4","24,473","±3,117","68.8%","±5.4","22,842","±3,140","77.2%","±5.5","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Bachelor's degree or higher","11,136","±1,461","17.1%","±2.2","4,506","±1,040","12.7%","±2.9","6,630","±1,412","22.4%","±4.2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"    Asian alone","545,888","±7,332","(X)","(X)","243,674","±4,195","(X)","(X)","302,214","±5,302","(X)","(X)","6,008","±664","(X)","(X)","2,147","±523","(X)","(X)","3,861","±560","(X)","(X)","38,852","±2,012","(X)","(X)","16,444","±1,143","(X)","(X)","22,408","±1,344","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)"
"        High school graduate or higher","490,824","±8,050","89.9%","±0.8","221,324","±4,477","90.8%","±1.0","269,500","±6,178","89.2%","±1.1","5,463","±796","90.9%","±6.8","1,983","±547","92.4%","±7.8","3,480","±620","90.1%","±7.8","32,943","±2,488","84.8%","±4.3","13,719","±1,418","83.4%","±6.1","19,224","±1,722","85.8%","±5.2","N","N","N","N","N","N","N","N","N","N","N","N"
"        Bachelor's degree or higher","308,322","±8,519","56.5%","±1.6","142,003","±5,369","58.3%","±2.1","166,319","±6,276","55.0%","±1.8","2,336","±867","38.9%","±13.6","674","±406","31.4%","±18.4","1,662","±711","43.0%","±15.3","20,124","±2,517","51.8%","±5.5","7,972","±1,527","48.5%","±8.6","12,152","±1,690","54.2%","±6.3","N","N","N","N","N","N","N","N","N","N","N","N"
"    Native Hawaiian and Other Pacific Islander alone","11,866","±2,974","(X)","(X)","5,645","±1,773","(X)","(X)","6,221","±2,030","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)"
"        High school graduate or higher","10,437","±2,819","88.0%","±4.8","4,835","±1,745","85.7%","±7.9","5,602","±1,897","90.0%","±6.0","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Bachelor's degree or higher","3,021","±1,414","25.5%","±8.9","749","±499","13.3%","±8.8","2,272","±1,133","36.5%","±11.2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"    Some other race alone","1,086,624","±28,076","(X)","(X)","548,178","±17,047","(X)","(X)","538,446","±15,582","(X)","(X)","5,253","±1,909","(X)","(X)","2,661","±1,137","(X)","(X)","2,592","±1,029","(X)","(X)","23,782","±3,787","(X)","(X)","11,569","±2,522","(X)","(X)","12,213","±2,536","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)"
"        High school graduate or higher","861,990","±25,842","79.3%","±1.1","424,611","±15,280","77.5%","±1.3","437,379","±14,324","81.2%","±1.4","4,350","±1,486","82.8%","±9.3","2,281","±1,048","85.7%","±14.1","2,069","±928","79.8%","±20.1","19,050","±3,658","80.1%","±9.1","9,305","±2,461","80.4%","±8.7","9,745","±2,174","79.8%","±11.9","N","N","N","N","N","N","N","N","N","N","N","N"
